level_norm,level_label,level_oneline,num_characters,num_dihedral_eigenforms,num_zero_restriction
1,1_1,1,0,0,0
4,4_1,2,0,0,0
5,5_1,-2*$.2 + 1,1,0,0
9,9_1,3,1,0,0
11,11_1,11, 2*$.2 + 3,0,0,0
11,11_2,11, 2*$.2 + 6,0,0,0
16,16_1,4,1,0,0
19,19_1,19, 2*$.2 + 8,0,0,0
19,19_2,19, 2*$.2 + 9,0,0,0
20,20_1,10, 4*$.2 - 2,1,0,0
25,25_1,5,1,0,0
29,29_1,29, 2*$.2 + 10,0,0,0
29,29_2,29, 2*$.2 + 17,0,0,0
31,31_1,31, 2*$.2 + 5,0,0,0
31,31_2,31, 2*$.2 + 24,0,0,0
36,36_1,6,1,0,0
41,41_1,-$.2 - 6,1,0,0
41,41_2,$.2 - 7,1,0,0
44,44_1,22, 4*$.2 + 6,0,0,0
44,44_2,22, 4*$.2 + 12,0,0,0
45,45_1,-6*$.2 + 3,2,0,0
49,49_1,7,3,0,0
55,55_2,-32*$.2 - 19,1,0,0
55,55_1,43*$.2 + 26,1,0,0
59,59_1,59, 2*$.2 + 7,0,0,0
59,59_2,59, 2*$.2 + 50,0,0,0
61,61_1,-3*$.2 - 7,1,0,0
61,61_2,-4*$.2 - 7,1,0,0
64,64_1,8,2,0,0
71,71_1,71, 2*$.2 + 16,0,0,0
71,71_2,71, 2*$.2 + 53,0,0,0
76,76_1,38, 4*$.2 + 16,0,0,0
76,76_2,38, 4*$.2 + 18,0,0,0
79,79_1,79, 2*$.2 + 19,0,0,0
79,79_2,79, 2*$.2 + 58,0,0,0
80,80_1,-8*$.2 + 4,2,0,0
81,81_1,9,3,0,0
89,89_2,89, 2*$.2 + 69,2,0,0
89,89_1,89, 2*$.2 + 18,2,0,0
95,95_1,-39*$.2 - 23,1,0,0
95,95_2,61*$.2 + 37,1,0,0
99,99_1,36*$.2 + 21,1,0,0
99,99_2,-27*$.2 - 15,1,0,0
100,100_1,10,1,0,0
101,101_1,101, 2*$.2 + 44,0,0,0
101,101_2,101, 2*$.2 + 55,0,0,0
109,109_2,$.2 - 11,1,0,0
109,109_1,$.2 + 10,1,0,0
116,116_1,58, 4*$.2 + 20,0,0,0
116,116_2,58, 4*$.2 + 34,0,0,0
121,121_2,11,5,0,0
121,121_1,121, 16*$.2 + 13,0,0,0
121,121_3,121, 28*$.2 + 40,0,0,0
124,124_2,62, 4*$.2 + 48,0,0,0
